TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
long_penis | A penis with extended length, emphasising reach rather than thickness. | genitalia:male
medial_ring | A raised ridge encircling the shaft of an equine penis, characteristic horse-anatomy feature. | genitalia:male
micro_penis | A very small penis, notably below average size, often humiliation-framed. | genitalia:male
monster_cock | An unrealistically massive penis in both length and girth, monster-scale anatomy. | genitalia:male
morning_wood | A character with an erection upon waking, the involuntary dawn hard-on. | genitalia:male
multi_balls | A character with more than two testicles, extra pairs in the scrotum. | genitalia:male
multi_cock | A character with more than one penis, multiple shafts. | genitalia:male
multi_knot | A penis with more than one knot along its length, multiple swellings rather than just the base. | genitalia:male
multi_penis | A character with multiple penises, more than the standard single shaft. | genitalia:male
musk_cock | A penis with strong musk or scent, the odour an emphasised feature. | genitalia:male
mutual_knotting | Both participants knot each other (e.g. herm or double canine partners). | genitalia:male
oral_knotting | A canine-style knot locking inside a partner's mouth after deep oral. | genitalia:male
painfully_hard | An erection so intense it causes visible discomfort, the arousal past pleasant. | genitalia:male
partially_retracted_foreskin | A foreskin pulled halfway back, the glans partly exposed beneath the rolled-back skin. | genitalia:male
penis | The standard male sexual organ, generic phallic anatomy as the focus of the scene. | genitalia:male
penis_hug | A penis encircled or wrapped by another body part, thighs, tail, or breasts pressing around it. | genitalia:male
penis_nuzzling | A character pressing or rubbing their face against a penis, affectionate or worshipful contact. | genitalia:male
pierced_balls | Testicles or scrotum with piercings through the skin, body mods on the sack. | genitalia:male
pierced_cock | A penis with one or more piercings through the shaft, glans, or frenulum. | genitalia:male
post_orgasm_sensitivity | A penis in the hypersensitive window just after climax, any touch overwhelming. | genitalia:male
prehensile_cock | A penis capable of flexing, gripping, or directing itself with intent. | genitalia:male
prehensile_penis | A penis that can flex and move independently, shaft with its own control. | genitalia:male
red_cock | A penis flushed deep red from arousal or friction, engorged colouration. | genitalia:male
reluctant_erection | An erection occurring despite the character not wanting one, body betraying resistance. | genitalia:male
retractable_cock | A penis that retracts into the body when flaccid, slit or sheath housing it. | genitalia:male
retracted_foreskin | A foreskin fully pulled back, the glans completely exposed. | genitalia:male
ridged_cock | A penis with raised ridges running along the shaft, textured surface. | genitalia:male
ridged_penis | A penis with raised or ribbed lines across the shaft, textured anatomy. | genitalia:male
saggy_balls | Low-hanging loose testicles, the scrotum visibly drooping rather than tight against the body. | genitalia:male
semi_erect | A penis partially erect, between flaccid and fully hard. | genitalia:male
sheath | The protective pouch into which a species's penis retracts when not erect. | genitalia:male
sheath_fingering | A character inserting fingers into another's genital sheath, teasing the housing. | genitalia:male
sheath_lick | A tongue dragging over or into a partner's genital sheath, species-anatomy focused worship. | genitalia:male
shrinkage | A penis retreating from cold or fear, visibly smaller than usual flaccid. | genitalia:male
slit_cock | A penis housed in a genital slit when not erect, reptile or feline anatomy. | genitalia:male
small_balls | Reduced-size testicles, smaller than average against the body, modest scrotal anatomy. | genitalia:male
small_cock | A below-average-sized penis, emphasis on the smaller scale of the shaft. | genitalia:male
small_penis | A minimally sized penis, notably below average dimensions in length and girth. | genitalia:male
smegma | Natural buildup visible under the foreskin of an uncut penis, often emphasised for musk or dirty-cock framing. | genitalia:male
soft_to_hard | A penis in the transition from flaccid to erect, the stiffening process mid-action. | genitalia:male
spent_cock | A penis softening after orgasm, the post-climax slackening visible. | genitalia:male
stretched_balls | Testicles pulled down by weight or a stretcher device, the scrotum extended. | genitalia:male
sweaty_cock | A penis covered in perspiration, sweat-beaded from exertion or heat. | genitalia:male
swollen_cock | A penis engorged beyond normal erection, swollen past typical hardness. | genitalia:male
tapered_cock | A penis that narrows to a pointed tip, equine or reptilian anatomy. | genitalia:male
tapering_penis | A shaft that narrows toward the tip, species-specific anatomy feature. | genitalia:male
tattooed_cock | A penis with tattoos inked along the shaft, permanent ink on the organ. | genitalia:male
textured_cock | A penis with unusual surface texture, ridges, bumps, or patterns along the shaft. | genitalia:male
thick_penis | A wide-girth penis notably thick rather than long, the circumference the emphasised feature. | genitalia:male
throbbing_cock | A pulsating penis indicating intense arousal, visible rhythmic swell and ease. | genitalia:male
translucent_penis | A semi-clear penis, internal structure or fluid visible through the shaft. | genitalia:male
twitching_cock | A penis moving involuntarily, small pulses visible along the shaft. | genitalia:male
uncut | A penis with foreskin intact, uncircumcised anatomy with skin covering the glans. | genitalia:male
unretracted_foreskin | A foreskin fully covering the glans, not pulled back during the scene. | genitalia:male
unusual_penis | A penis with fantasy or non-standard anatomy, shape outside the normal species range. | genitalia:male
ursine_penis | A bear-style penis with distinctive baculum and tapered shape. | genitalia:male
vaginal_knotting | A canine-style knot locking inside a partner's vagina during vaginal sex. | genitalia:male
veiny_cock | A penis with prominent surface veins running along the shaft. | genitalia:male
veiny_penis | A penis with prominent veins visible, vascular anatomy emphasised. | genitalia:male

================================================================================
GENITALIA (FEMALE)
================================================================================
abused_pussy | A vulva showing signs of rough or excessive use, reddened, swollen, or visibly stretched. | genitalia:female
animal_pussy | A non-human animal-style vulva on a character, species-specific anatomy rather than humanoid form. | genitalia:female
big_clitoris | An enlarged, oversized clitoris, notably larger than typical anatomy. | genitalia:female
bovine_pussy | A bovine-style vulva with cow-specific anatomy, positioned further back than humanoid. | genitalia:female
branded_pussy | A brand mark burned into the skin on or near the vulva, permanent ownership display. | genitalia:female
bruised_pussy | A vulva showing visible bruising from rough use, darkened patches on the labia. | genitalia:female
cameltoe | Tight clothing pressed into the vulva showing the outline of the labia through fabric. | genitalia:female
canine_pussy | A dog-style vulva, positioned lower between the legs with species-specific anatomy. | genitalia:female
cervix | The internal opening of the uterus, visible in cutaway or x-ray views of deep penetration. | genitalia:female
clit_erection | A clitoris visibly engorged and erect, the swollen nub on display. | genitalia:female
clitoral_fingering | Direct finger stimulation focused on the clitoris, rubbing or flicking the nub. | genitalia:female
clitoral_hood | The protective fold of skin covering the clitoris, retractable during arousal. | genitalia:female
clitoris | A sensitive protrusion above the vaginal opening, the primary external female pleasure centre. | genitalia:female
creampied_pussy | A vagina with cum visible inside or dripping out after internal ejaculation. | genitalia:female
creamy_pussy | White or creamy vaginal discharge visible from arousal, lubricant thickened. | genitalia:female
dripping_pussy | A vulva with arousal fluid visibly dripping from the opening. | genitalia:female
enlarged_clitoris | A pronounced clitoris grown larger than typical, either from arousal or anatomy. | genitalia:female
equine_pussy | An equine-style vulva, positioned further back and larger than humanoid anatomy. | genitalia:female
exposed_clit | A clitoris fully visible with the hood pulled back or retracted. | genitalia:female
feline_pussy | A cat-style vulva, positioned higher between the legs with species-specific anatomy. | genitalia:female
gaping_pussy | Vaginal walls visibly spread apart, the opening held wide enough to see inside. | genitalia:female
grool | Sticky arousal fluid visible on the vulva, thick precum-equivalent. | genitalia:female
hairy_pussy | Natural pubic hair present around the vulva, untrimmed and visible across the mound. | genitalia:female
hand_on_pussy | A hand resting or pressing against the vulva, whether one's own or a partner's. | genitalia:female
heart_shaped_pubic_hair | Pubic hair trimmed into a heart shape, deliberate grooming display. | genitalia:female
hooded_clit | A clitoris partially covered by its hood, only the tip exposed. | genitalia:female
hyper_pussy | An unrealistically stretched or expanded vulva, far past realistic proportions. | genitalia:female
inner_labia | The inner set of vulval lips, the smaller pair inside the outer labia. | genitalia:female
innie_pussy | A vulva with inner labia fully hidden by the outer labia, neatly tucked. | genitalia:female
labia | The vulval lips, the two pairs of folds framing the vaginal opening. | genitalia:female
landing_strip | A narrow vertical strip of pubic hair above the vulva, the rest shaved smooth. | genitalia:female
large_clit | An above-average sized clitoris, visibly larger than typical anatomy. | genitalia:female
loose_pussy | A relaxed or stretched vaginal canal, wider than tight and typically post-use. | genitalia:female
meaty_labia | Full thick vulval lips, notably fleshy rather than thin or trim. | genitalia:female
mound | The soft pubic mound above the vulva, the mons pubis. | genitalia:female
multi_pussy | A character with more than one vulva, fantasy multiplied anatomy. | genitalia:female
outer_labia | The outer set of vulval lips, the larger pair framing the inner labia. | genitalia:female
outie_pussy | A vulva with inner labia extending past the outer labia, visibly protruding. | genitalia:female
ovaries | Internal reproductive glands, visible in cutaway or magical internal-view panels. | genitalia:female
pierced_clit | A clitoris with a piercing through the hood or the clitoris itself. | genitalia:female
pierced_pussy | A vulva with one or more piercings through the labia or clitoral hood. | genitalia:female
plump_labia | Thick or swollen vulval lips, fuller than trim anatomy. | genitalia:female
post_sex_pussy | A vulva after sexual activity, flushed, swollen, and visibly used. | genitalia:female
puffy_clit | A clitoris swollen and engorged from arousal, visibly pushed out. | genitalia:female
puffy_labia | Full, outwardly-rounded outer labia that read as plush or swollen rather than flat, often emphasised as a visual feature. | genitalia:female
puffy_pussy | A vulva with a puffy outer appearance, plump rather than flat. | genitalia:female
pussy | The vaginal opening and surrounding vulva, general genital-area tag. | genitalia:female
pussy_comparison | Two or more characters comparing their vulvas side by side. | genitalia:female
pussy_inspection | A character examining or evaluating another's vulva, studying rather than using. | genitalia:female
pussy_juice_dripping | Arousal fluid visibly dripping from the vulva, the wetness spilling over the lower lip. | genitalia:female
pussy_juice_string | A strand of arousal fluid stretched between vulva and surface or body. | genitalia:female
pussy_presentation | A character deliberately displaying their vulva for admiration or access. | genitalia:female
pussy_spread | A vulva held open manually, fingers spreading the labia to reveal the interior. | genitalia:female
red_pussy | A vulva flushed deep red from arousal or friction, engorged colouration. | genitalia:female
shaved_pussy | A vulva with all pubic hair removed, completely smooth. | genitalia:female
slit_fingering | A finger teasing or entering a genital slit, scalie or reptilian anatomy focus. | genitalia:female
soaking_wet_pussy | A vulva extremely lubricated with arousal fluid, thoroughly drenched. | genitalia:female
squeezing_pussy | A vagina deliberately clenching around an inserted object, muscles working in rhythm. | genitalia:female
swollen_clit | An enlarged clitoris visibly swollen and engorged from arousal, pushed outward and prominent. | genitalia:female
swollen_pussy | A vulva engorged from arousal, labia and clit all visibly swollen. | genitalia:female
tattooed_pussy | A tattoo inked on or near the vulva, permanent ink in the intimate area. | genitalia:female
throbbing_pussy | A vulva pulsing from intense arousal, rhythmic swell visible. | genitalia:female
tight_pussy | A notably snug vaginal canal, narrowness the emphasised feature. | genitalia:female
trimmed_pussy | Pubic hair kept neat and short rather than shaved or left natural. | genitalia:female
twitching_pussy | Involuntary small clenching of vaginal muscles, the rhythm visible. | genitalia:female
urethra | The urinary opening, anatomy tag shared between male and female contexts. | genitalia:female
ursine_pussy | A bear-style vulva, the species-specific female anatomy of an ursine character. | genitalia:female
used_pussy | A vulva showing signs of recent sexual activity, flushed and slick. | genitalia:female
uterus | The internal organ of gestation, visible in cutaway or x-ray panels. | genitalia:female
waxed_pussy | A vulva with pubic hair removed via waxing, smooth and hairless. | genitalia:female
wet_pussy | A vulva visibly slick with arousal fluid, glistening lubricated and ready. | genitalia:female

================================================================================
NON-HUMANOID & FANTASY ANATOMY
================================================================================
anal_fin | Small fin on the ventral rear body of aquatic species, aft of the vent. | anatomy:fantasy
antennae_grab | A character's antennae gripped or pulled, a species-sensitive point for dominance or tenderness. | anatomy:fantasy
beak | A hard keratinous mouth structure, the bird or bird-anthro mouthpart replacing lips and teeth. | anatomy:fantasy
bone_spurs | Bony protrusions pushing through skin at joints or along limbs, skeletal extrusions as anatomy. | anatomy:fantasy
carapace | A hard protective shell covering the upper body or back, chitinous or plated armour. | anatomy:fantasy
caudal_fin | The main tail fin of aquatic species, the propulsion blade at the rear of the body. | anatomy:fantasy
chitin | Hard biological material forming the exoskeleton of insect or crustacean anthros, armoured plates. | anatomy:fantasy
chromatophores | Specialised skin cells that allow colour change, cephalopod-style shifting markings. | anatomy:fantasy
claspers | Male reproductive appendages on sharks and rays, paired rods beside the pelvic fins. | anatomy:fantasy
color_body | General tag modifying body colour, applied when a specific colour overlay matters to the scene. | anatomy:fantasy
color_feathers | General tag modifying feather colour on an avian or winged character. | anatomy:fantasy
color_fur | General tag modifying fur colour on an anthro or feral character. | anatomy:fantasy
color_scales | General tag modifying scale colour on a reptilian or dragon character. | anatomy:fantasy
color_skin | General tag modifying skin colour on a humanoid or exposed-skin character. | anatomy:fantasy
comb | The fleshy crest on top of a rooster's head, red and floppy, classic avian display feature. | anatomy:fantasy
compound_eyes | Insect-style eyes made of many small facets grouped together, no single pupil visible. | anatomy:fantasy
detachable_limbs | Limbs designed to come off at will without injury, often for doll-like or fantasy bodies. | anatomy:fantasy
dewlap | Loose fold of skin hanging under the throat, associated with reptiles and some bovines, often flared as display or mood cue. | anatomy:fantasy
dorsal_fin | Fin running along the top of the back in aquatic species, the classic shark or fish silhouette. | anatomy:fantasy
echolocation | Sonar-like sense using high-pitched sound to map surroundings, bat or dolphin anatomy. | anatomy:fantasy
egg_sac | An external pouch or sac holding developing eggs, arachnid or amphibian-style brooding structure. | anatomy:fantasy
electroreception | Ability to sense electrical fields through specialised organs, shark or platypus anatomy. | anatomy:fantasy
elongated_tongue | A tongue drawn much longer than normal, extending well past the mouth when out. | anatomy:fantasy
exoskeleton | External skeletal structure covering the body, insect or crustacean anatomy plated over the soft tissue. | anatomy:fantasy
extra_arms | A character with more than two arms, additional limbs as central anatomy. | anatomy:fantasy
extra_eyes | A character with more than two eyes, extra pairs placed on face or body. | anatomy:fantasy
extra_legs | A character with more than two legs, spider-like or fantasy anatomy. | anatomy:fantasy
extra_tails | A character with more than one tail, kitsune or fantasy multi-tail anatomy. | anatomy:fantasy
frill_display | A neck frill extended outward, lizard-style intimidation or courtship display. | anatomy:fantasy
heat_pits | Infrared-sensing organs between the eyes and nostrils, pit-viper anatomy. | anatomy:fantasy
ink_sac | An internal organ that produces defensive ink, cephalopod anatomy that can empty as a cloud. | anatomy:fantasy
lateral_line | A vibration-sensing line of pores running along the sides of aquatic species. | anatomy:fantasy
mandibles | Large jaw pincers on the face of insect or arthropod characters, operating separately from the mouth. | anatomy:fantasy
marsupial_pouch | An abdominal pouch for carrying young, kangaroo or opossum anatomy. | anatomy:fantasy
metallic_body | A character whose skin or body is made of or appears as metal, chrome or iron surface. | anatomy:fantasy
multiple_heads | A character with more than one head on a single body, hydra or fantasy anatomy. | anatomy:fantasy
ovipositor | An egg-laying organ on the body of a character capable of depositing eggs in a partner or nest. | anatomy:fantasy
paws | Animal-style hands or feet with soft pads on palm or sole, claws at the tips of the digits. | anatomy:fantasy
pectoral_fins | Paired side fins on aquatic species, positioned near the head for steering. | anatomy:fantasy
proboscis | A long tubular mouthpart, insect-style or fantasy extended tongue or feeding tube. | anatomy:fantasy
quills | Sharp defensive spines covering the back or body, porcupine or hedgehog anatomy. | anatomy:fantasy
retractable_claws | Claws that can extend and retract at will, feline anatomy classic feature. | anatomy:fantasy
saber_teeth | Extremely elongated upper canines extending past the lower jaw, sabertooth cat anatomy. | anatomy:fantasy
scent_glands | Organs producing pheromones or musk, scent-marking anatomy in the groin, neck, or paws. | anatomy:fantasy
shell | A hard protective shell covering the body, turtle or armadillo anatomy as armour. | anatomy:fantasy
skin | Bare unclothed skin visible as the body surface, rather than fur, scales, or feathers. | anatomy:fantasy
snout | An elongated animal-style muzzle replacing a humanoid nose and mouth, species-defining facial feature. | anatomy:fantasy
spines | Row of sharp protrusions along the back, tail, or limbs — defensive armour or aggressive display depending on species. | anatomy:fantasy
swim_bladder | Internal gas-filled organ controlling buoyancy, fish anatomy for adjusting depth. | anatomy:fantasy
talons | Large predatory claws on bird or raptor feet, curved and built for gripping prey. | anatomy:fantasy
tentacle_arms | Arms replaced by or combined with tentacles, flexible limbs rather than jointed. | anatomy:fantasy
tentacle_hair | Hair replaced by tentacles, writhing appendages in place of strands. | anatomy:fantasy
tentacle_tail | A tail replaced by or made from tentacles, flexible and often prehensile. | anatomy:fantasy
tentacles | Flexible elongated appendages without bones, cephalopod or fantasy anatomy. | anatomy:fantasy
third_eye | A single additional eye, usually on the forehead, mystical or fantasy anatomy. | anatomy:fantasy
throat_sac | An inflatable throat pouch that expands outward for display, frog or bird anatomy. | anatomy:fantasy
trunk | A long prehensile nose that can grip, manipulate, or spray, elephant anatomy. | anatomy:fantasy
venom_glands | Organs producing venom, snake or arachnid anatomy for envenoming prey. | anatomy:fantasy
venomous_fangs | Teeth with hollow canals delivering venom when they sink into prey. | anatomy:fantasy
vibrissae | The formal term for sensory whiskers, stiff specialised hairs on the face. | anatomy:fantasy
wattle | A fleshy dangling throat appendage, turkey or rooster anatomy. | anatomy:fantasy
whiskers | Long stiff sensory hairs on the face, cat or rodent anatomy for feeling in tight spaces. | anatomy:fantasy
wing_arms | Arms that serve as wings, bat or pterosaur anatomy where the arm membrane is the flight surface. | anatomy:fantasy

================================================================================
INTERNAL & SKELETAL ANATOMY
================================================================================
crest_mark | Magical mark above the pubic area | anatomy:internal
cum_visible_inside | Ejaculate visible through transparent or x-ray body | anatomy:internal
cutaway_anatomy | Artistic cutaway showing internal structure | anatomy:internal
distended_organs | Internal organs pushed aside or stretched by penetration | anatomy:internal
egg_visible_inside | Eggs visible through transparent or x-ray body | anatomy:internal
exposed_bone | Bone visible through flesh | anatomy:internal
exposed_brain | Brain visible through open skull | anatomy:internal
exposed_heart | Heart visible and beating outside the body | anatomy:internal
exposed_intestines | Intestines visible outside the body | anatomy:internal
exposed_muscle | Muscle tissue visible through torn skin/fur | anatomy:internal
exposed_organs | Internal organs visible from outside the body | anatomy:internal
exposed_ovary | Ovary visible (fantasy/x-ray/gore) | anatomy:internal
exposed_ribcage | Ribs visible through flesh | anatomy:internal
exposed_spine | Spine/vertebrae visible | anatomy:internal
exposed_testicle | Testicle visible outside the scrotum | anatomy:internal
exposed_womb | Womb visible or opened (fantasy/x-ray) | anatomy:internal
filled_intestines | Intestinal tract visibly full | anatomy:internal
filled_stomach | Stomach visibly full | anatomy:internal
filled_womb | Womb visibly full of cum, eggs, or other | anatomy:internal
heart | Visible or exposed heart | anatomy:internal
internal_anatomy_visible | Any internal anatomy shown through skin | anatomy:internal
kidneys | Internal kidney depiction | anatomy:internal
liver | Liver shown or referenced | anatomy:internal
pelvis | Visible hip bones (often in x-ray or gore) | anatomy:internal
penetration_visible_inside | Penetrating object visible through body | anatomy:internal
skull | Bare or exposed skull, stylized or real | anatomy:internal
transparent_body | See-through body showing internals | anatomy:internal
womb_tattoo | Tattoo or mark over the womb area (often magical) | anatomy:internal
x-ray | Interior visual, usually during penetration or gore | anatomy:internal
x_ray_view | X-ray style view showing internal anatomy | anatomy:internal

================================================================================
FUR, SCALE & FEATHER COLORS
================================================================================
auburn_fur | Character with reddish-brown fur | coat:colour
black_feathers | Character with black-colored feathers | coat:colour
black_fur | Character with black-colored fur | coat:colour
black_scales | Character with black-colored scales | coat:colour
blue_feathers | Character with blue-colored feathers | coat:colour
blue_fur | Character with blue-colored fur | coat:colour
blue_scales | Character with blue-colored scales | coat:colour
blue_skin | Blue-colored skin | coat:colour
brown_fur | Character with brown-colored fur | coat:colour
charcoal_fur | Character with dark grey/charcoal fur | coat:colour
chocolate_fur | Character with dark brown/chocolate fur | coat:colour
cinnamon_fur | Character with warm cinnamon-brown fur | coat:colour
cream_fur | Character with cream/off-white fur | coat:colour
dark_skin | Deep or dark skin tone | coat:colour
gold_scales | Character with gold-colored scales | coat:colour
golden_feathers | Character with gold-colored feathers | coat:colour
golden_fur | Character with rich gold-colored fur | coat:colour
gradient_fur | Fur that transitions between colors | coat:colour
green_feathers | Character with green-colored feathers | coat:colour
green_fur | Character with green-colored fur | coat:colour
green_scales | Character with green-colored scales | coat:colour
green_skin | Green-colored skin | coat:colour
grey_fur | Character with grey-colored fur | coat:colour
grey_skin | Grey-colored skin | coat:colour
iridescent_feathers | Feathers that shimmer with multiple colors | coat:colour
iridescent_scales | Scales that shimmer with multiple colors | coat:colour
ivory_fur | Character with ivory/pale cream fur | coat:colour
lavender_fur | Character with lavender-colored fur | coat:colour
metallic_scales | Scales with a metallic sheen | coat:colour
midnight_fur | Character with very dark blue-black fur | coat:colour
multicolored_fur | Character with multiple fur colors | coat:colour
olive_skin | Olive or Mediterranean skin tone | coat:colour
orange_fur | Character with orange-colored fur | coat:colour
pale_skin | Light or fair skin tone | coat:colour
pink_fur | Character with pink-colored fur | coat:colour
purple_fur | Character with purple-colored fur | coat:colour
purple_scales | Character with purple-colored scales | coat:colour
rainbow_feathers | Feathers spanning the full color spectrum | coat:colour
red_feathers | Character with red-colored feathers | coat:colour
red_fur | Character with red-colored fur | coat:colour
red_scales | Character with red-colored scales | coat:colour
red_skin | Red-colored skin | coat:colour
russet_fur | Character with deep reddish-brown fur | coat:colour
silver_scales | Character with silver-colored scales | coat:colour
tan_fur | Character with tan/sandy fur | coat:colour
teal_fur | Character with teal-colored fur | coat:colour
two_tone_fur | Character with fur in two distinct colors | coat:colour
white_feathers | Character with white-colored feathers | coat:colour
white_scales | Character with white-colored scales | coat:colour
yellow_fur | Character with yellow/golden fur | coat:colour

================================================================================
EYE COLORS
================================================================================
amber_eyes | Warm amber/golden-brown colored eyes | eyes:colour
black_eyes | Completely black eyes | eyes:colour
bloodshot_eyes | Red-veined eyes from exhaustion or intensity | eyes:colour
blue_eyes | Blue colored eyes | eyes:colour
bright_eyes | Vivid, intensely colored eyes | eyes:colour
brown_eyes | Brown colored eyes | eyes:colour
cat_eyes | Feline-style eyes with slit pupils | eyes:colour
crimson_eyes | Deep red/crimson colored eyes | eyes:colour
dark_eyes | Very dark colored eyes | eyes:colour
doe_eyes | Large, gentle, expressive eyes | eyes:colour
glazed_eyes | Unfocused, pleasure-dazed eyes | eyes:colour
glowing_eyes | Eyes that emit light or glow | eyes:colour
green_eyes | Green colored eyes | eyes:colour
grey_eyes | Grey colored eyes | eyes:colour
half_lidded_eyes | Partially closed eyes suggesting arousal or sleepiness | eyes:colour
hazel_eyes | Hazel/mixed brown-green eyes | eyes:colour
ice_blue_eyes | Very pale, icy blue eyes | eyes:colour
orange_eyes | Orange colored eyes | eyes:colour
pink_eyes | Pink colored eyes | eyes:colour
predator_eyes | Sharp, focused, hunting gaze | eyes:colour
purple_eyes | Purple/violet colored eyes | eyes:colour
red_eyes | Red colored eyes | eyes:colour
reptile_eyes | Reptilian-style eyes | eyes:colour
round_pupils | Round pupils (canine/human) | eyes:colour
silver_eyes | Silver/pale grey colored eyes | eyes:colour
slit_pupils | Vertical slit pupils (reptilian/feline) | eyes:colour
teal_eyes | Teal/blue-green colored eyes | eyes:colour
tear_filled_eyes | Eyes brimming with unshed tears | eyes:colour
violet_eyes | Violet colored eyes | eyes:colour
white_eyes | White or pale colored eyes | eyes:colour
wide_eyes | Eyes opened wide in surprise or shock | eyes:colour
wolf_eyes | Lupine amber/gold eyes | eyes:colour
yellow_eyes | Yellow colored eyes | eyes:colour

================================================================================
FUR PATTERNS & MARKINGS
================================================================================
agouti | Banded fur with multiple colors per strand | coat:pattern
belly_patch | Differently colored underside | coat:pattern
bioluminescent_markings | Markings that glow in the dark | coat:pattern
blaze_marking | White stripe down the center of the face | coat:pattern
brand_mark | Burned brand visible through fur | coat:pattern
brindle | Dark streaks on lighter base (dog pattern) | coat:pattern
chest_patch | Differently colored patch on the chest | coat:pattern
chimera_coloring | Split coloration down the middle of the body | coat:pattern
claw_marks | Scarred claw tracks visible through fur | coat:pattern
constellation_markings | Star-like dot patterns on fur | coat:pattern
counter_shading | Darker top, lighter underside coloring | coat:pattern
dappled | Light spots on darker background | coat:pattern
dorsal_stripe | Line of color down the spine | coat:pattern
ear_tips_marking | Different color at the tips of the ears | coat:pattern
eye_rings | Colored rings around the eyes | coat:pattern
flame_markings | Flame-shaped color patterns | coat:pattern
freckled_fur | Light freckling pattern across fur | coat:pattern
frosted_tips | Lighter tips on darker base fur | coat:pattern
glowing_markings | Markings that emit light | coat:pattern
gradient_markings | Markings that fade from one color to another | coat:pattern
grizzled | Grey mixed with darker fur, aged appearance | coat:pattern
leucistic | Abnormally pale/white coloring (not albino) | coat:pattern
lightning_markings | Lightning bolt patterns (often from scars) | coat:pattern
mask_marking | Darker coloring around the eyes | coat:pattern
melanistic | Abnormally dark/black coloring | coat:pattern
merle | Mottled patches of color (dog pattern) | coat:pattern
mittens_marking | Different colored paws | coat:pattern
neon_markings | Bright, vivid colored markings | coat:pattern
ombre_fur | Fur that gradually transitions between shades | coat:pattern
piebald | Large irregular patches of two colors | coat:pattern
piebald_coloring | Irregular patches of unpigmented fur | coat:pattern
raccoon_mask | Dark mask-like marking around the eyes | coat:pattern
roan | Even mix of colored and white hairs | coat:pattern
rosettes | Rose-shaped spot clusters (jaguar/leopard pattern) | coat:pattern
rune_markings | Magical rune symbols on the body | coat:pattern
saddle_marking | Darker patch across the back | coat:pattern
salt_and_pepper | Mix of dark and grey/white fur | coat:pattern
socks_marking | Different colored feet/lower legs | coat:pattern
speckled | Small scattered spots or flecks | coat:pattern
star_marking | White mark on the forehead | coat:pattern
stripes | Striped fur pattern | coat:pattern
swirl_markings | Spiral or swirl patterns in fur | coat:pattern
tabby_stripes | Classic tabby cat stripe pattern | coat:pattern
tail_tip_marking | Different color at the tip of the tail | coat:pattern
tattoo_marking | Tattooed patterns visible on skin/through thin fur | coat:pattern
tiger_stripes | Bold, dark stripes on lighter base (tiger pattern) | coat:pattern
tribal_markings | Cultural or tribal patterns on fur/skin | coat:pattern
tuxedo_pattern | Black body with white chest/face (cat/dog pattern) | coat:pattern
underbelly | Lighter colored underside | coat:pattern
war_scars | Visible battle scars through the fur | coat:pattern

================================================================================
FUR & BODY TEXTURES
================================================================================
belly_fluff | Soft, fluffy fur on the underside | coat:texture
bristly | Short, stiff, brush-like fur | coat:texture
cheek_fluff | Fluffy fur on the cheeks | coat:texture
chest_fluff | Fluffy fur on the chest | coat:texture
coarse_fur | Rough, stiff-textured fur | coat:texture
curly_fur | Fur with curls or waves | coat:texture
damp_fur | Slightly wet, moist fur | coat:texture
downy | Soft, fine undercoat or baby feathers | coat:texture
ear_fluff | Fluffy fur inside or on the ears | coat:texture
extra_fluffy | Exceptionally thick and puffy fur | coat:texture
feathered_feet | Fur growing over the feet and toes | coat:texture
fluffy | Thick, soft, voluminous fur | coat:texture
groomed | Well-maintained, brushed fur | coat:texture
guard_hairs | Longer outer layer of fur | coat:texture
jellybean_toes | Small, colorful paw pads | coat:texture
keeled_scales | Scales with a raised central ridge | coat:texture
leathery_skin | Tough, hide-like skin texture | coat:texture
maned | Having a prominent mane | coat:texture
matted_fur | Tangled, unkempt fur | coat:texture
molting | Shedding old fur, feathers, or scales | coat:texture
neck_fluff | Fluffy fur around the neck | coat:texture
overlapping_scales | Visible layered scale pattern | coat:texture
peach_fuzz | Very fine, barely visible fur | coat:texture
plush | Dense, velvety soft fur | coat:texture
preened_feathers | Well-groomed, neat feathers | coat:texture
puffed_up | Fur or feathers standing on end | coat:texture
rough_paw_pads | Calloused, worn paw pads | coat:texture
rough_scales | Coarse, textured scales | coat:texture
rough_skin | Textured, uneven skin | coat:texture
ruff | Ring of longer fur around the neck | coat:texture
ruffled_feathers | Feathers in disarray | coat:texture
scruffy | Rough, unkempt appearance | coat:texture
shaggy | Long, messy, hanging fur | coat:texture
silky_fur | Extremely soft and smooth fur | coat:texture
sleek_fur | Smooth, close-lying fur | coat:texture
smooth_scales | Polished, even-textured scales | coat:texture
soft_paw_pads | Smooth, cushiony paw pads | coat:texture
soft_skin | Smooth, supple skin | coat:texture
summer_coat | Thin seasonal fur for warm weather | coat:texture
tail_fluff | Extra fluffy fur on the tail | coat:texture
toe_beans | Soft, rounded paw pads (cute term) | coat:texture
tufted | Having tufts of fur in various places | coat:texture
undercoat | Dense inner layer of fur | coat:texture
wet_fur | Fur soaked with water | coat:texture
winter_coat | Thick seasonal fur for cold weather | coat:texture
wiry_fur | Thin, stiff, rough fur | coat:texture
woolly | Thick, sheep-like wool texture | coat:texture


================================================================================
E621 IMPORT - 2026-04-15
================================================================================
