TAG DATABASE: KINK & FETISH
========================================
Total tags: 1337
Categories: 7
Last updated: 2026-02-26

================================================================================
BDSM, POWER & CONSENT
================================================================================
aftercare | Emotional/physical care given after intense sexual activity | kink:bdsm
dental_dam | Barrier used during oral sex on vulva or anus | kink:toy
dental_gag | Device holding the jaw open | kink:toy
dildo_gag | Gag with an attached dildo protruding from the mouth | kink:toy
double_dildo | Dildo with two insertable ends | kink:toy
double_ended_dildo | Two-headed dildo for simultaneous use | kink:toy
double_strap_on | Strap-on with dildos for both wearer and receiver | kink:toy
dragon_dildo | Dildo shaped like a dragon penis | kink:toy
dual_vibrator | Vibrator stimulating two areas simultaneously | kink:toy
egg_vibrator | Small egg-shaped vibrator inserted internally | kink:toy
electro_cock_ring | Cock ring with electrical stimulation | kink:toy
electro_plug | Plug with electrical stimulation | kink:toy
expanding_toy | Toy that expands or inflates inside the body | kink:toy
fake_cum | Artificial ejaculate for roleplay | kink:toy
feather_toy | Feather used for light tickling stimulation | kink:toy
finger_vibrator | Small vibrator worn on a finger | kink:toy
fleshlight | Male masturbation sleeve toy | kink:toy
fucking_machine | Mechanical device that automates penetration | kink:toy
g_spot_vibrator | Curved vibrator for internal G-spot stimulation | kink:toy
glass_dildo | Dildo made of glass, often for temperature play | kink:toy
glory_hole_wall | Wall with holes for anonymous sexual access | kink:toy
hood | Full head covering for sensory deprivation | kink:toy
horse_dildo | Dildo shaped like an equine penis | kink:toy
inflatable_dildo | Dildo that can be inflated inside the body | kink:toy
inflatable_knot_toy | Toy with an inflatable knot section | kink:toy
inflatable_plug | Butt plug that can be inflated once inserted | kink:toy
isolation_hood | Hood blocking sight, sound, and sometimes breathing | kink:toy
jennings_gag | Medical-style mouth-opening device | kink:toy
jewel_plug | Butt plug with a decorative gem or jewel base | kink:toy
knotted_dildo | Dildo shaped with a canine-style knot | kink:toy
latex_hood | Latex head covering | kink:toy
layered_toy | Toy with multiple textured sections | kink:toy
leather_hood | Leather head covering | kink:toy
liberator | Brand of sex furniture and positioning aids | kink:toy
locking_dildo | Dildo with knotting/locking mechanism | kink:toy
locking_plug | Butt plug that locks in place | kink:toy
long_distance_toy | Sex toy for remote partner control | kink:toy
love_egg | Smooth insertable vibrating egg | kink:toy
lube | Sexual lubricant | kink:toy
lubricant | Substance to reduce friction during sexual activity | kink:toy
masturbation_sleeve | Generic sleeve-type male sex toy | kink:toy
milking_bench | Furniture for restraining during milking play | kink:toy
milking_machine | Device that mechanically extracts fluids (cum or milk) | kink:toy
nipple_pump | Suction device for nipple stimulation and enlargement | kink:toy
nipple_sucker | Suction device for nipple stimulation | kink:toy
nipple_vibrator | Vibrator designed for nipple stimulation | kink:toy
onahole | Japanese-style male masturbation toy | kink:toy
open_mouth_gag | Any gag that forces the mouth to stay open | kink:toy
ovipositor_toy | Toy designed to deposit gelatin eggs inside the body | kink:toy
panty_vibrator | Vibrator worn inside underwear | kink:toy
penis_gag_double | Gag with dildo both inside and outside the mouth | kink:toy
penis_plug | Small plug inserted into the urethra | kink:toy
penis_sheath | Hollow sleeve worn over penis to add size or texture | kink:toy
penis_sleeve_textured | Textured sleeve adding ridges or bumps | kink:toy
posture_collar | Rigid collar forcing head position | kink:toy
prostate_massager | Toy designed specifically for prostate stimulation | kink:toy
prostate_plug | Plug designed to rest against the prostate | kink:toy
pump_gag | Gag that inflates inside the mouth | kink:toy
pussy_pump | Vacuum pump used on the vulva for engorgement | kink:toy
queening_stool | Seat with an opening for face-sitting | kink:toy
rabbit_vibrator | Dual-stimulation vibrator with clitoral arm | kink:toy
remote_vibrator | Vibrator controlled remotely by a partner | kink:toy
rotating_dildo | Dildo with rotating/spinning action | kink:toy
sex_machine_chair | Chair with integrated penetration device | kink:toy
sex_pillow | Pillow designed to support sexual positions | kink:toy
sex_swing | Suspended harness for aerial sex positions | kink:toy
shock_collar | Collar delivering electrical shocks | kink:toy
silicone_dildo | Standard soft silicone dildo | kink:toy
sounds | Metal or silicone rods for urethral insertion | kink:toy
speculum | Medical device used to hold an orifice open | kink:toy
spider_gag | Gag that holds the mouth wide open | kink:toy
squirting_dildo | Dildo that can ejaculate fluid | kink:toy
strap_on_harness | Harness worn to hold a dildo for penetration | kink:toy
suction_cup_dildo | Dildo with suction base for hands-free use | kink:toy
tail_dildo | Dildo with an attached tail (for wearing) | kink:toy
tail_plug | Butt plug with an attached decorative tail | kink:toy
temperature_dildo | Dildo designed for hot or cold play | kink:toy
tens_unit | Electrical muscle stimulation device for sexual use | kink:toy
tentacle_dildo | Dildo shaped like a tentacle | kink:toy
thrusting_dildo | Dildo with mechanical thrusting action | kink:toy
tongue_vibrator | Small vibrator worn on the tongue | kink:toy
tracking_collar | Collar with GPS or magical tracking | kink:toy
urethral_plug | Plug specifically for the urethra | kink:toy
urethral_vibrator | Vibrating rod for urethral stimulation | kink:toy
vaginal_plug | Plug designed for vaginal wear | kink:toy
vibrating_chair | Chair with built-in vibration | kink:toy
vibrating_cock_ring | Cock ring with built-in vibration | kink:toy
vibrating_plug | Butt plug with vibration function | kink:toy
violet_wand | Electrical device producing low-current sparks for sensation | kink:toy
wand_vibrator | Large vibrator with a rounded head (e.g. Hitachi) | kink:toy
wartenberg_wheel | Pinwheel with sharp points for sensation play | kink:toy
wearable_vibrator | Vibrator designed to be worn during daily activities | kink:toy
wedge_pillow | Angled pillow for position support during sex | kink:toy
womb_plug | Deep plug reaching the womb entrance | kink:toy

================================================================================
FETISH & KINK THEMES
================================================================================
age_play | Roleplay involving age regression dynamics (adults only) | kink:theme
amputation_kink | Arousal from amputation or missing limbs (fantasy) | kink:theme
angel_sex | Sexual activity with angelic entities | kink:theme
anonymous_sex | Sex with an unknown or unidentified partner | kink:theme
astral_sex | Sexual activity in an astral or spiritual plane | kink:theme
authority_kink | Arousal triggered by figures of authority — police, military officers, bosses, teachers, or anyone in a position of institutional power. The uniform, the commanding voice, and the inherent power imbalance between authority and subordinate fuel fantasies of being ordered, inspected, or disciplined by someone whose word is law. | kink:theme
balloon_fetish | Sexual arousal from balloons (looner) | kink:theme
bimbo | Exaggerated femininity and sexual availability aesthetic | kink:theme
birthing | The act of giving birth depicted as a sexual or fetishistic event, focusing on the physical intensity, vulnerability, and body horror or beauty of delivery. Scenes may involve egg-laying, live birth, or supernatural birthing, with the extreme stretching and physical effort framed as erotic. | kink:theme
blood_play | Incorporating blood into sexual activity | kink:theme
body_swap_sex | Sex while inhabiting another's body | kink:theme
boss_kink | Arousal from the employer-employee power dynamic, where the boss's professional authority bleeds into sexual command over a subordinate. The office setting, the threat of professional consequences, and the taboo of workplace sex create a charged dynamic of power, risk, and forbidden desire. | kink:theme
breeding_fetish | A deep sexual fixation on impregnation and reproduction — the primal drive to breed, be bred, and create offspring through raw, purposeful mating. The fetish centres on the biological imperative itself: the urgency, the claiming, the deliberate filling with seed and the desire to make it take. | kink:theme
breeding_kink | Arousal from the concept and language of breeding — being told you'll be bred, calling a partner a breeding bitch, or the fantasy of being used solely for reproductive purposes. The kink may exist independently of any actual desire for offspring, fuelled purely by the possessive, animalistic framing. | kink:theme
breeding_press_kink | Specific arousal from the mating press position combined with breeding intent — the dominant pinning the receiver's legs back and driving deep with the explicit goal of planting seed. The combination of physical domination, maximum depth, and verbal breeding commands creates an intensely primal scenario. | kink:theme
captor_kink | Arousal from kidnapping, capture, and captive-keeper dynamics where one partner is imprisoned, caged, or held against their will by the other. The power imbalance between captor and helpless prisoner, combined with Stockholm syndrome undertones and dependency, fuels fantasies of forced intimacy and gradual surrender. | kink:theme
caught_in_the_act | Being discovered during sexual activity | kink:theme
cheating_kink | Arousal from infidelity scenarios — cheating on a partner, being the affair partner, or being cheated on. The forbidden nature of the betrayal, the secrecy, the risk of discovery, and the twisted validation of being chosen over an existing partner create a cocktail of guilt, thrill, and taboo excitement. | kink:theme
claw_fetish | Arousal from claws — their sharpness, the way they trace across skin leaving raised red lines, the danger of something that could tear flesh being used with deliberate restraint. The fetish encompasses the visual appeal of elegant talons, the sensation of points dragging across the body, and the thrill of vulnerability beneath something razor-sharp. | kink:theme
clone_sex | Sex with a copy of oneself | kink:theme
cock_addiction | Compulsive craving for penis/sex | kink:theme
condom_fetish | Arousal centred on condoms themselves — the ritual of rolling one on, the visual of a filled and tied-off condom, the latex smell, or the deliberate act of removing one mid-sex. The fetish may focus on the barrier aspect, the visual proof of ejaculation, or the erotic ritual of protection. | kink:theme
condom_filling | Filling a condom with large amounts of cum | kink:theme
condom_overflow | So much cum it overflows the condom | kink:theme
corruption_kink | Arousal from the gradual moral or sexual corruption of an innocent character — watching purity dissolve into depravity through seduction, influence, or dark magic. The appeal lies in the transformation from reluctance to eagerness, from shame to shamelessness, as the corrupted character embraces what they once resisted. | kink:theme
corruption_transformation | Transformation caused by sexual corruption | kink:theme
cruising | Seeking anonymous sexual encounters in public spaces | kink:theme
cuckold | Partner watching their mate have sex with someone else | kink:theme
cuckolding | Dynamic where one partner has sex with others while mate watches | kink:theme
cuckquean | Female partner watching her mate have sex with another | kink:theme
cum_addiction | Compulsive craving for ejaculate | kink:theme
cum_bath | Being covered or submerged in large quantities of cum | kink:theme
curse_kink | Arousal from being cursed or cursing others — magical afflictions that force sexual behaviour, transform the body, or create inescapable conditions of arousal and need. The involuntary, supernatural nature of the curse removes responsibility while creating scenarios of helpless, magically-enforced sexuality. | kink:theme
daddy_kink | Arousal from the 'daddy' honorific and the nurturing-dominant dynamic it represents — a caring but firm authority figure who rewards good behaviour and punishes bad. The dynamic blends parental warmth with sexual authority, where 'daddy' provides structure, approval, and discipline in equal measure. | kink:theme
deity_sex | Sexual activity with a god or goddess | kink:theme
demon_sex | Sexual activity with demonic entities | kink:theme
doctor_kink | Arousal from medical professional dynamics — the clinical authority of a doctor, the vulnerability of a patient in a gown, the intimacy of examination, and the power of someone who can touch you anywhere under professional pretence. The sterile setting and clinical language make the sexual undertones feel transgressive. | kink:theme
doctor_patient | Roleplay scenario between doctor and patient | kink:theme
dream_sex | Sexual activity occurring within a dream | kink:theme
drug_play | Use of substances to alter sexual experience | kink:theme
drunk_sex | Sexual activity while intoxicated with alcohol | kink:theme
ear_fetish | Arousal from ears — their shape, sensitivity, the way they twitch and flatten in anthro characters, and the intimate act of touching, licking, or breathing into them. Long ears, pointed ears, floppy ears, and the expressive movement of animal ears all carry specific erotic appeal in furry contexts. | kink:theme
egg_pregnancy | Pregnant with eggs rather than live young | kink:theme
enema | The administration of fluid into the rectum via tube or nozzle, used as preparation for anal sex, as a form of control or humiliation, or as a sensation-focused activity in its own right. The filling sensation, the vulnerability of the position, and the forced retention create a distinctive mix of discomfort and intimacy. | kink:theme
excessive_cum | Unrealistically large amounts of ejaculate | kink:theme
exhibitionist_caught | Exhibitionist being caught by others | kink:theme
exhibitionist_kink | Arousal from being watched or exposing oneself | kink:theme
eye_penetration_kink | Arousal from eye socket penetration (extreme fantasy) | kink:theme
feather_fetish | Arousal from feathers — their softness, the tickling sensation when drawn across skin, the visual beauty of plumage, and the association with avian characters in furry contexts. The fetish encompasses everything from light teasing with a single feather to the erotic appeal of a fully feathered partner. | kink:theme
feederism | Kink involving feeding a partner to gain weight | kink:theme
feminization | The process of making a male-bodied character more feminine through clothing, makeup, hormones, magic, or behavioural training. The transformation may be willing or forced, gradual or sudden, and the eroticism lies in the dissolution of masculine presentation and the emergence of feminine expression. | kink:theme
feral_kink | Arousal from feral (non-anthro) animal characters | kink:theme
firehose | Extremely forceful ejaculation or urination | kink:theme
food_play | Using food items in sexual activity | kink:theme
foot_fetish | Arousal from feet — their shape, arch, toes, soles, the way they look in or out of footwear, and the acts of worship, massage, licking, or smelling them. In furry contexts, this extends to paws, digitigrade feet, clawed toes, and paw pads, each carrying their own specific tactile and visual appeal. | kink:theme
forced_feminization | Making a male present or behave femininely | kink:theme
freeuse_kink | Arousal from being available for sex at any time | kink:theme
fur_fetish | Arousal from the texture, warmth, and visual appeal of fur — running hands through a thick pelt, burying a face in soft chest fur, or the sensation of a furred body pressed against bare skin. The softness, warmth, and animal nature of fur create a sensory experience unique to furry contexts. | kink:theme
ghost_sex | Sexual activity with a spectral being | kink:theme
glove_fetish | Arousal from gloves — the sight of hands sheathed in leather, latex, silk, or satin, the squeaking sound of tight material, and the barrier between skin that somehow makes touch more deliberate and charged. Long opera gloves, tight leather driving gloves, and clinical latex all carry distinct erotic overtones. | kink:theme
golden_shower | Urinating on a partner for sexual purposes | kink:theme
gun_play | Using firearms as props in sexual power play | kink:theme
guro | Erotic gore or mutilation (fantasy/drawn only) | kink:theme
himbo | Male equivalent — attractive, muscular, sexually eager | kink:theme
horn_fetish | Arousal from horns — their visual dominance on a character's head, the way they can be gripped during sex for leverage or control, and their association with power, demons, and untamed nature. The fetish encompasses everything from delicate gazelle horns to massive curling ram horns to sharp demonic points. | kink:theme
hothusbanding | Male equivalent of hotwife dynamic | kink:theme
hotwife | Wife who has sex with others with husband's knowledge/approval | kink:theme
hyper | Exaggerated body proportions (hyper muscles, genitalia, etc.) | kink:theme
hyper_ass | Buttocks enlarged to unrealistically massive proportions, each cheek bigger than the character's torso, creating an absurdly exaggerated rear that dominates their silhouette. The hyper rear may wobble, jiggle, and clap with every movement, requiring special accommodation and making sitting a logistical challenge. | kink:theme
hyper_clitoris | A clitoris enlarged to unrealistic proportions — growing to the size of a finger, a penis, or even larger, becoming a prominent, impossible-to-ignore feature. The hyper clit throbs and twitches with visible arousal, its extreme sensitivity making even light contact overwhelmingly pleasurable. | kink:theme
hyper_cum | Ejaculation producing unrealistically massive volumes of cum — gallons, bathtubs, or room-filling quantities pumped out in a single orgasm. The impossible volume floods, fills, inflates, and drowns, transforming climax from a moment into an event that reshapes the environment. | kink:theme
hyper_foreskin | Foreskin enlarged to unrealistically exaggerated proportions, hanging well beyond the glans in a stretchy, rubbery excess of skin. The oversized foreskin may be pulled, stretched, filled, or used in creative ways that normal foreskin proportions would not allow. | kink:theme
hyper_inflation | Extreme body inflation pushed beyond already exaggerated limits — characters swelling to room-filling, building-sized, or comically round proportions. The inflation pushes the body past any semblance of normal shape into a taut, creaking sphere of pressure that threatens to exceed even fantasy limits. | kink:theme
hyper_knot | A canine-style knot enlarged to unrealistically massive proportions, swelling far beyond what any anatomy could realistically accommodate. The impossible bulge creates extreme stretching during insertion and an inescapable, plugging lock that traps enormous volumes inside the tied partner. | kink:theme
hyper_pregnancy | Pregnancy with a belly enlarged to unrealistically massive proportions — bigger than the character's entire body, carrying impossible numbers of offspring, or simply swollen to fantasy extremes. The enormous belly renders the character immobile, dependent, and visually dominated by their own gravid midsection. | kink:theme
impregnation | The specific moment of conception during sex — the act of making someone pregnant, often accompanied by awareness of the moment seed takes hold. The erotic focus is on the biological finality of the act, the point of no return where sex becomes reproduction and the receiver is claimed at the deepest level. | kink:theme
inflation_fetish | A persistent sexual fixation on inflation of all kinds — belly, breast, full-body, cum, air, water, or any substance that makes bodies swell and stretch. The appeal centres on the visual transformation, the tightness of stretched skin, the vulnerability of an inflated form, and the pressure building inside. | kink:theme
innocence_kink | Arousal from a partner's innocence, naivety, or inexperience — the appeal of being someone's first, of introducing them to sexual knowledge, and of watching wide-eyed discovery transform into arousal. The dynamic between experienced corruptor and innocent initiate is charged with the thrill of revelation. | kink:theme
intoxication | Being under the influence during sexual activity | kink:theme
knife_play | Using blades near the body for thrill without cutting | kink:theme
knot_fetish | Arousal specifically from canine-style penile knots — the swelling bulge at the base that locks partners together during mating in a biological tie. The fetish centres on the stretching insertion, the feeling of being plugged and locked, the inability to separate, and the primal intimacy of being knotted together. | kink:theme
latex_fetish | Arousal from latex and rubber materials — the tight, second-skin cling, the glossy visual sheen, the squeak of movement, and the way the material seals the body in a smooth, anonymous shell. Latex transforms the wearer into a sleek, objectified figure defined by curves and shine rather than individual features. | kink:theme
leather_fetish | Arousal from leather — its rich smell, the creaking sound of movement, the way it moulds to the body, and its deep cultural association with dominance, rebellion, and raw sexuality. Leather jackets, harnesses, boots, and gloves carry a masculine, powerful energy that signals authority and danger. | kink:theme
lingerie_fetish | Arousal from lingerie — lace, silk, satin, and sheer fabrics that frame and accentuate the body rather than concealing it. The fetish focuses on the erotic tension between clothed and naked, where intimate garments tease with partial visibility and transform the body into a gift being unwrapped. | kink:theme
living_clothing | Clothing that is alive and responsive | kink:theme
living_condom | Condom-like creature that envelops the penis | kink:theme
living_dildo | Dildo-like creature used for penetration | kink:theme
magic_sex | Sexual activity enhanced or caused by magic | kink:theme
magical_bondage_kink | Arousal from bondage achieved through magical means — invisible force fields pinning limbs, enchanted ropes that tighten on command, gravity spells pressing the body to the floor, or conjured chains that respond to the caster's will. Magic removes the physical limitations of mundane restraint, making escape truly impossible. | kink:theme
marking_kink | Arousal from leaving or receiving visible marks on the body — hickeys, bite marks, scratches, bruises, or brands that serve as proof of passion and ownership. The marks transform private sex into a public statement written on the skin, visible evidence that someone was here and claimed this body. | kink:theme
mask_fetish | Arousal from masks — the anonymity they provide, the transformation of identity they create, and the unsettling eroticism of a face concealed while the body is exposed. Masks dehumanise the wearer, turning them into a faceless object defined only by their body, or add mystery that makes every interaction charged. | kink:theme
medical_play | Sexual roleplay involving medical scenarios or equipment | kink:theme
messy | Sexual activity involving mess (food, fluids, etc.) | kink:theme
mind_break_kink | Kink focused on overwhelming someone past rational thought | kink:theme
mommy_kink | Arousal from the 'mommy' honorific and the nurturing-dominant dynamic it represents — a warm, controlling maternal figure who comforts, rewards, and disciplines in equal measure. The dynamic combines tender caregiving with firm authority, where 'mommy' knows best and expects grateful obedience. | kink:theme
monster_kink | Arousal from monstrous, inhuman, or grotesque characters — creatures with impossible anatomy, terrifying features, and bodies designed for overwhelming rather than attracting. The appeal lies in the alien otherness, the size and power differential, and the transgressive thrill of being intimate with something that should be feared. | kink:theme
mpreg | Male pregnancy — a male character carrying offspring, their belly swelling with growing life despite their biological sex. The impossible pregnancy may result from magic, species biology, or transformation, with the pregnant male experiencing the physical and emotional journey typically reserved for females. | kink:theme
multi_anus | A character possessing more than one anus, providing multiple points of anal access simultaneously. The additional openings allow for creative multi-penetration scenarios and configurations that a single opening cannot accommodate. | kink:theme
multi_breast | A character with more than two breasts, often arranged in rows down the torso as seen in many animal species. The additional breasts provide more surface area for stimulation and create a distinctly non-human, animalistic physique that emphasises fertility and abundance. | kink:theme
multi_vagina | A character possessing more than one vagina, providing multiple points of vaginal access. The additional openings allow for simultaneous penetration by multiple partners or creative toy configurations impossible with standard anatomy. | kink:theme
muscle_fetish | Arousal from muscular bodies — the visual appeal of defined abs, swollen biceps, thick thighs, and the raw physical power that a built physique represents. The fetish encompasses watching muscles flex and strain, feeling their hardness, and the primal arousal triggered by a body clearly built for power. | kink:theme
musk_fetish | Arousal from natural body musk — the raw, unwashed scent concentrated in armpits, groins, sheaths, and beneath tails that carries pheromonal information about arousal, dominance, and species. The heady, animal smell bypasses conscious thought and triggers deep, instinctive responses of arousal and submission. | kink:theme
musk_play | Focus on natural body musk as sexual element | kink:theme
necrophilia | Sexual attraction to the dead (fiction only) | kink:theme
needle_play | Piercing skin with needles for sensation | kink:theme
objectophilia | Sexual attraction to objects rather than beings — a specific, persistent arousal response to inanimate things like furniture, vehicles, or structures. In fantasy contexts this may manifest as intimacy with enchanted objects, sentient furniture, or the transformation of a partner into an object of fixation. | kink:theme
ownership_kink | Arousal from the dynamic of possessing or being possessed by another — being someone's property, marked and claimed as belonging exclusively to them. The kink centres on the totality of the claim: not just sexual access, but identity, autonomy, and self reduced to someone else's treasured possession. | kink:theme
panty_fetish | Arousal centred on underwear — the visual of panties on a body, the act of removing them, the fabric stretched over intimate areas, and the scent of worn underwear carrying traces of the wearer. The fetish treats this intimate garment as charged with sexual energy by its proximity to what it barely conceals. | kink:theme
panty_sniffing | Smelling worn underwear | kink:theme
parasitic_sex | Sexual parasitism from creatures | kink:theme
partner_sharing | Sharing one's partner sexually with others | kink:theme
paw_fetish | Arousal from animal paws — the soft pads, the flexing toes, the retractable claws, and the unique texture where rough pads meet soft fur. The fetish encompasses paw worship, paw jobs, trampling, and the intimate vulnerability of a partner presenting their paws for attention. | kink:theme
paw_play | Sexual focus on paws and paw pads | kink:theme
plant_sex | Sexual activity with sentient plants | kink:theme
plushophilia | Sexual attraction to stuffed animals or plush toys | kink:theme
possession_sex | Sex while being possessed by another entity | kink:theme
power_kink | Arousal from power dynamics in any form — the rush of commanding another person, the relief of surrendering to control, or the electric tension between someone who holds power and someone who yields to it. The specific form matters less than the charge created by the imbalance itself. | kink:theme
pregnancy | A character who is currently pregnant, carrying offspring that visibly swells their belly and changes their body. Pregnancy content may focus on the physical changes, the vulnerability and beauty of the gravid form, the hormonal arousal, or the eroticism of sex during pregnancy. | kink:theme
pregnant | A character visibly with child — belly rounded and prominent with the weight of developing offspring inside. The pregnant body carries a particular erotic charge: the swollen belly, enlarged breasts, heightened sensitivity, and the visual proof of sexual consequence made permanently visible. | kink:theme
priest_kink | Arousal from religious authority figures — the forbidden nature of a priest, nun, or holy person breaking their vows, the sacred vestments being defiled, and the collision between spiritual purity and carnal sin. The taboo of corrupting or being corrupted by someone sworn to celibacy and piety is the core appeal. | kink:theme
psychic_sex | Sexual activity through mental/psychic connection | kink:theme
public_kink | Arousal from sexual activity performed in public or semi-public spaces where discovery is possible — parks, changing rooms, partially hidden corners, or anywhere the thrill of being seen or caught adds electric urgency to the act. The risk transforms ordinary sex into a high-stakes performance. | kink:theme
purification | Being cleansed of corruption or dark influence | kink:theme
risk_of_discovery | Arousal specifically from the possibility of being caught during sexual activity, rather than from being actually seen. The tension of footsteps approaching, the door that might open, the thin wall that might not muffle sounds — it's the knife-edge between hidden and exposed that creates the thrill. | kink:theme
rubber_fetish | Arousal from rubber material — its tight grip on the body, the shiny surface that reflects light, the distinctive smell, and the way it transforms the wearer into a sleek, anonymous, almost industrial figure. Rubber shares many qualities with latex but carries a heavier, more industrial aesthetic. | kink:theme
ryona | Erotic violence or beating (fantasy context) | kink:theme
saliva_fetish | Arousal from drool, spit, and saliva — the glistening strands connecting lips and tongue to skin, the wet mess of excessive drooling during oral sex, or the deliberate act of spitting on a partner's body. The visual and tactile wetness carries an overtone of primal, uncontrolled desire. | kink:theme
scale_fetish | Arousal from scaled skin — the smooth, interlocking pattern of reptilian or draconic scales, their unique texture under fingertips, and the alien beauty of a body armoured in natural plate. The fetish encompasses the cool smoothness, the visual pattern, and the inhuman otherness that scales represent. | kink:theme
scat | Sexual activity involving feces | kink:theme
scent_play | Deliberate use of body scent for arousal | kink:theme
sentient_cum | Ejaculate that moves or acts with intent | kink:theme
sentient_tentacles | Tentacles with their own awareness | kink:theme
shoe_fetish | Arousal from shoes — high heels, boots, sneakers, or specific styles that transform the foot, the posture, and the power dynamic. The fetish may focus on the visual elevation of heels, the dominance of boots, the intimate act of removing shoes, or the scent trapped within well-worn footwear. | kink:theme
silk_fetish | Arousal from silk fabric — its impossibly smooth texture against skin, the way it drapes and clings to curves, and the luxurious, sensual associations of a material that feels like liquid against the body. Silk sheets, silk lingerie, and silk bindings all carry an air of refined, decadent eroticism. | kink:theme
sissification | Feminizing a male through clothing, behavior, or training | kink:theme
size_fetish | Arousal centred on size differences between partners — one dramatically larger or smaller than the other, creating a power imbalance written into their very proportions. The appeal lies in the visual contrast, the physical logistics of mismatched bodies, and the inherent dominance of someone who dwarfs their partner. | kink:theme
slime_sex | Sexual activity with or as a slime creature | kink:theme
smell_kink | Arousal triggered specifically by scents and odours — the musk of an unwashed groin, the sweat of exertion, the pheromone-laden air near a partner in heat. The kink treats scent as a primary sexual sense, with specific smells triggering arousal as powerfully as visual or tactile stimulation. | kink:theme
snuff | Death during or as part of sexual activity (fiction only) | kink:theme
sock_fetish | Arousal from socks — the way they frame the foot and ankle, the scent trapped inside a well-worn pair, the act of peeling them off to reveal the bare foot beneath, or the playful intimacy of thigh-highs and knee socks as casual, everyday garments made erotic by context. | kink:theme
stocking_fetish | Arousal from stockings and legwear — the sheer fabric encasing legs in a semi-transparent layer, the visual line of a stocking top against bare thigh, and the way hosiery transforms legs into smooth, idealised objects of desire. The boundary between stocking and bare skin is charged with erotic tension. | kink:theme
stranger_kink | Arousal from sexual encounters with unknown, anonymous partners — the thrill of intimacy without identity, where the mystery of who is touching you or who you're touching amplifies every sensation. The lack of context, name, or history strips the encounter to pure physical chemistry. | kink:theme
sweat_fetish | Arousal from sweat — the glistening sheen on exerted skin, the salt taste of licked perspiration, the primal scent of a body working hard, and the visual evidence of physical effort during sex. Sweat signals intensity, effort, and raw physicality that clean, dry bodies cannot convey. | kink:theme
swinging | Couples exchanging partners for sexual activity | kink:theme
symbiotic_sex | Sexual activity with a symbiotic organism | kink:theme
taboo | Arousal from acts that are socially forbidden, morally transgressive, or culturally unacceptable — the thrill comes specifically from the wrongness of the act rather than the physical sensation alone. The forbidden nature transforms ordinary pleasure into something charged with guilt, danger, and the intoxicating rush of breaking rules. | kink:theme
tail_fetish | Arousal from tails — their expressive movement, the soft fur or smooth scales covering them, the way they curl and wag to signal emotion, and the intimate base where tail meets body. Tails can be grabbed for leverage during sex, stroked sensually, or wrapped around a partner in a distinctly non-human embrace. | kink:theme
teacher_kink | Arousal from the teacher-student dynamic — the authority of the educator, the impressionable submission of the student, and the forbidden nature of crossing a professional boundary built on trust and power imbalance. The classroom setting, the grading power, and the private-meeting pretence create layered erotic tension. | kink:theme
tears_fetish | Arousal from crying — the visual of tears streaming down a face, the vulnerability and emotional rawness of someone weeping, and the contrast between distress and the erotic context creating it. Tears during sex signal overwhelming sensation, whether from pain, pleasure, or the intensity of submission. | kink:theme
teeth_fetish | Arousal from fangs, teeth, and biting — the flash of sharp canines in a grin, the threat of jaws that could tear but choose to nip, and the primal danger of a mouth full of predatory teeth near vulnerable skin. The fetish combines beauty, danger, and the erotic promise of being bitten. | kink:theme
time_loop_sex | Repeating the same sexual encounter via time loop | kink:theme
tongue_fetish | Arousal from tongues — their length, dexterity, texture, and the ways they can lap, probe, wrap, and explore. Long tongues, forked tongues, rough feline tongues, and thick canine tongues each offer unique sensations, and the visual of a tongue extended or working is inherently sensual and suggestive. | kink:theme
uniform_fetish | Arousal from uniforms — military dress, police uniforms, school outfits, medical scrubs, or any standardised clothing that signals authority, role, or institutional power. The uniform transforms an individual into a representative of something larger, and the act of defiling that symbol through sex carries transgressive power. | kink:theme
used_condom | Focus on a used, filled condom | kink:theme
used_panties | Worn, soiled underwear as fetish object | kink:theme
virginity_kink | Arousal centred on the loss of virginity — the fantasy of being someone's first, of breaking through innocence into experience, or of surrendering one's own untouched status. The kink focuses on the irreversibility of the moment, the nervousness, the pain-to-pleasure transition, and the significance of a threshold crossed. | kink:theme
voice_fetish | Arousal triggered by specific voice qualities — a deep rumbling growl, a breathless whisper, an authoritative command voice, or a particular accent that sends shivers down the spine. The fetish responds to sound as a primary erotic stimulus, where what is said matters less than how it resonates through the body. | kink:theme
voyeur_caught | Voyeur being discovered watching | kink:theme
voyeur_kink | Arousal from secretly watching others in intimate or sexual situations without their knowledge — the forbidden thrill of seeing something private, the power of witnessing while unseen, and the guilt-tinged excitement of being a hidden observer to someone else's vulnerability. | kink:theme
watersports | Sexual activity involving urine | kink:theme
wet_and_messy | Arousal from being covered, drenched, or splattered in substances — cum, oil, food, mud, slime, paint, or any material that makes the body slick, sticky, and thoroughly messy. The appeal lies in the loss of composure, the sensory overload of being coated, and the visual of a body glistening with mess. | kink:theme
wife_sharing | Sharing one's wife sexually with others | kink:theme
wing_fetish | Arousal from wings — their dramatic span, the vulnerability of delicate membranes or soft feathers, and the intimate act of touching a body part that represents freedom and power. Wings can enfold a partner in a feathered or membranous embrace, creating a private space defined by the winged character's body. | kink:theme
xenophilia | Sexual attraction to alien or non-human species | kink:theme

================================================================================
NUDITY & CLOTHING STATES
================================================================================
