TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species
color_fur | Specific fur color tag
color_scales | Colored scales
color_skin | Skin hue or pigmentation modifier
comb | Fleshy crest on head (rooster)
compound_eyes | Insect-style multi-faceted eyes
detachable_limbs | Limbs that can separate from the body
dewlap | Foldable throat fan (lizard display)
dorsal_fin | Fin on the back (aquatic species)
echolocation | Sonar sense using sound (bat/dolphin)
egg_sac | External egg-carrying structure
electroreception | Ability to sense electrical fields
elongated_tongue | Abnormally long tongue
exoskeleton | External skeletal structure (insects)
extra_arms | More than two arms
extra_eyes | More than two eyes
extra_legs | More than two legs
extra_tails | More than one tail
frill_display | Extended neck frill for display
heat_pits | Infrared-sensing organs (pit viper)
ink_sac | Organ that produces defensive ink (cephalopod)
lateral_line | Vibration-sensing organ (fish)
mandibles | Large jaw pincers (insect)
marsupial_pouch | Abdominal pouch for carrying young
metallic_body | Skin/body made of metal or metallic appearance
multiple_heads | More than one head on one body
ovipositor | Organ for depositing eggs
paws | Animal feet/hands with pads
pectoral_fins | Side fins (aquatic species)
proboscis | Long tubular mouthpart
quills | Sharp defensive quills (porcupine)
retractable_claws | Claws that extend and retract (feline)
saber_teeth | Extremely long upper canine teeth
scent_glands | Organs that produce pheromones or musk
shell | Hard protective shell (turtle/armadillo)
skin | Bare skin or no fur/scales
snout | Elongated animal-style muzzle
spines | Sharp spines along the body
swim_bladder | Internal buoyancy organ (fish)
talons | Large bird-like predatory claws
tentacle_arms | Arms replaced by or combined with tentacles
tentacle_hair | Hair made of or replaced by tentacles
tentacle_tail | Tail made of or replaced by tentacles
tentacles | Flexible, elongated appendages
third_eye | Single additional eye (usually on forehead)
throat_sac | Inflatable throat pouch for display (frog)
trunk | Elephant-like prehensile nose
venom_glands | Organs that produce venom
venomous_fangs | Teeth that inject venom
vibrissae | Sensitive whisker hairs (formal term)
wattle | Fleshy throat appendage (turkey)
whiskers | Long sensory hairs on the face
wing_arms | Arms that are also wings

================================================================================
INTERNAL & SKELETAL ANATOMY
================================================================================
crest_mark | Magical mark above the pubic area
cum_visible_inside | Ejaculate visible through transparent or x-ray body
cutaway_anatomy | Artistic cutaway showing internal structure
distended_organs | Internal organs pushed aside or stretched by penetration
egg_visible_inside | Eggs visible through transparent or x-ray body
exposed_bone | Bone visible through flesh
exposed_brain | Brain visible through open skull
exposed_heart | Heart visible and beating outside the body
exposed_intestines | Intestines visible outside the body
exposed_muscle | Muscle tissue visible through torn skin/fur
exposed_organs | Internal organs visible from outside the body
exposed_ovary | Ovary visible (fantasy/x-ray/gore)
exposed_ribcage | Ribs visible through flesh
exposed_spine | Spine/vertebrae visible
exposed_testicle | Testicle visible outside the scrotum
exposed_womb | Womb visible or opened (fantasy/x-ray)
filled_intestines | Intestinal tract visibly full
filled_stomach | Stomach visibly full
filled_womb | Womb visibly full of cum, eggs, or other
heart | Visible or exposed heart
internal_anatomy_visible | Any internal anatomy shown through skin
kidneys | Internal kidney depiction
liver | Liver shown or referenced
pelvis | Visible hip bones (often in x-ray or gore)
penetration_visible_inside | Penetrating object visible through body
skull | Bare or exposed skull, stylized or real
transparent_body | See-through body showing internals
womb_tattoo | Tattoo or mark over the womb area (often magical)
x-ray | Interior visual, usually during penetration or gore
x_ray_view | X-ray style view showing internal anatomy

================================================================================
FUR, SCALE & FEATHER COLORS
================================================================================
auburn_fur | Character with reddish-brown fur
black_feathers | Character with black-colored feathers
black_fur | Character with black-colored fur
black_scales | Character with black-colored scales
blue_feathers | Character with blue-colored feathers
blue_fur | Character with blue-colored fur
blue_scales | Character with blue-colored scales
blue_skin | Blue-colored skin
brown_fur | Character with brown-colored fur
charcoal_fur | Character with dark grey/charcoal fur
chocolate_fur | Character with dark brown/chocolate fur
cinnamon_fur | Character with warm cinnamon-brown fur
cream_fur | Character with cream/off-white fur
dark_skin | Deep or dark skin tone
gold_scales | Character with gold-colored scales
golden_feathers | Character with gold-colored feathers
golden_fur | Character with rich gold-colored fur
gradient_fur | Fur that transitions between colors
green_feathers | Character with green-colored feathers
green_fur | Character with green-colored fur
green_scales | Character with green-colored scales
green_skin | Green-colored skin
grey_fur | Character with grey-colored fur
grey_skin | Grey-colored skin
iridescent_feathers | Feathers that shimmer with multiple colors
iridescent_scales | Scales that shimmer with multiple colors
ivory_fur | Character with ivory/pale cream fur
lavender_fur | Character with lavender-colored fur
metallic_scales | Scales with a metallic sheen
midnight_fur | Character with very dark blue-black fur
multicolored_fur | Character with multiple fur colors
olive_skin | Olive or Mediterranean skin tone
orange_fur | Character with orange-colored fur
pale_skin | Light or fair skin tone
pink_fur | Character with pink-colored fur
purple_fur | Character with purple-colored fur
purple_scales | Character with purple-colored scales
rainbow_feathers | Feathers spanning the full color spectrum
red_feathers | Character with red-colored feathers
red_fur | Character with red-colored fur
red_scales | Character with red-colored scales
red_skin | Red-colored skin
russet_fur | Character with deep reddish-brown fur
silver_scales | Character with silver-colored scales
tan_fur | Character with tan/sandy fur
teal_fur | Character with teal-colored fur
two_tone_fur | Character with fur in two distinct colors
white_feathers | Character with white-colored feathers
white_scales | Character with white-colored scales
yellow_fur | Character with yellow/golden fur

================================================================================
EYE COLORS
================================================================================
amber_eyes | Warm amber/golden-brown colored eyes
black_eyes | Completely black eyes
bloodshot_eyes | Red-veined eyes from exhaustion or intensity
blue_eyes | Blue colored eyes
bright_eyes | Vivid, intensely colored eyes
brown_eyes | Brown colored eyes
cat_eyes | Feline-style eyes with slit pupils
crimson_eyes | Deep red/crimson colored eyes
dark_eyes | Very dark colored eyes
doe_eyes | Large, gentle, expressive eyes
glazed_eyes | Unfocused, pleasure-dazed eyes
glowing_eyes | Eyes that emit light or glow
green_eyes | Green colored eyes
grey_eyes | Grey colored eyes
half_lidded_eyes | Partially closed eyes suggesting arousal or sleepiness
hazel_eyes | Hazel/mixed brown-green eyes
ice_blue_eyes | Very pale, icy blue eyes
orange_eyes | Orange colored eyes
pink_eyes | Pink colored eyes
predator_eyes | Sharp, focused, hunting gaze
purple_eyes | Purple/violet colored eyes
red_eyes | Red colored eyes
reptile_eyes | Reptilian-style eyes
round_pupils | Round pupils (canine/human)
silver_eyes | Silver/pale grey colored eyes
slit_pupils | Vertical slit pupils (reptilian/feline)
teal_eyes | Teal/blue-green colored eyes
tear_filled_eyes | Eyes brimming with unshed tears
violet_eyes | Violet colored eyes
white_eyes | White or pale colored eyes
wide_eyes | Eyes opened wide in surprise or shock
wolf_eyes | Lupine amber/gold eyes
yellow_eyes | Yellow colored eyes

================================================================================
FUR PATTERNS & MARKINGS
================================================================================
agouti | Banded fur with multiple colors per strand
belly_patch | Differently colored underside
bioluminescent_markings | Markings that glow in the dark
blaze_marking | White stripe down the center of the face
brand_mark | Burned brand visible through fur
brindle | Dark streaks on lighter base (dog pattern)
chest_patch | Differently colored patch on the chest
chimera_coloring | Split coloration down the middle of the body
claw_marks | Scarred claw tracks visible through fur
constellation_markings | Star-like dot patterns on fur
counter_shading | Darker top, lighter underside coloring
dappled | Light spots on darker background
dorsal_stripe | Line of color down the spine
ear_tips_marking | Different color at the tips of the ears
eye_rings | Colored rings around the eyes
flame_markings | Flame-shaped color patterns
freckled_fur | Light freckling pattern across fur
frosted_tips | Lighter tips on darker base fur
glowing_markings | Markings that emit light
gradient_markings | Markings that fade from one color to another
grizzled | Grey mixed with darker fur, aged appearance
leucistic | Abnormally pale/white coloring (not albino)
lightning_markings | Lightning bolt patterns (often from scars)
mask_marking | Darker coloring around the eyes
melanistic | Abnormally dark/black coloring
merle | Mottled patches of color (dog pattern)
mittens_marking | Different colored paws
neon_markings | Bright, vivid colored markings
ombre_fur | Fur that gradually transitions between shades
piebald | Large irregular patches of two colors
piebald_coloring | Irregular patches of unpigmented fur
raccoon_mask | Dark mask-like marking around the eyes
roan | Even mix of colored and white hairs
rosettes | Rose-shaped spot clusters (jaguar/leopard pattern)
rune_markings | Magical rune symbols on the body
saddle_marking | Darker patch across the back
salt_and_pepper | Mix of dark and grey/white fur
socks_marking | Different colored feet/lower legs
speckled | Small scattered spots or flecks
star_marking | White mark on the forehead
stripes | Striped fur pattern
swirl_markings | Spiral or swirl patterns in fur
tabby_stripes | Classic tabby cat stripe pattern
tail_tip_marking | Different color at the tip of the tail
tattoo_marking | Tattooed patterns visible on skin/through thin fur
tiger_stripes | Bold, dark stripes on lighter base (tiger pattern)
tribal_markings | Cultural or tribal patterns on fur/skin
tuxedo_pattern | Black body with white chest/face (cat/dog pattern)
underbelly | Lighter colored underside
war_scars | Visible battle scars through the fur

================================================================================
FUR & BODY TEXTURES
================================================================================
belly_fluff | Soft, fluffy fur on the underside
bristly | Short, stiff, brush-like fur
cheek_fluff | Fluffy fur on the cheeks
chest_fluff | Fluffy fur on the chest
coarse_fur | Rough, stiff-textured fur
curly_fur | Fur with curls or waves
damp_fur | Slightly wet, moist fur
downy | Soft, fine undercoat or baby feathers
ear_fluff | Fluffy fur inside or on the ears
extra_fluffy | Exceptionally thick and puffy fur
feathered_feet | Fur growing over the feet and toes
fluffy | Thick, soft, voluminous fur
groomed | Well-maintained, brushed fur
guard_hairs | Longer outer layer of fur
jellybean_toes | Small, colorful paw pads
keeled_scales | Scales with a raised central ridge
leathery_skin | Tough, hide-like skin texture
maned | Having a prominent mane
matted_fur | Tangled, unkempt fur
molting | Shedding old fur, feathers, or scales
neck_fluff | Fluffy fur around the neck
overlapping_scales | Visible layered scale pattern
peach_fuzz | Very fine, barely visible fur
plush | Dense, velvety soft fur
preened_feathers | Well-groomed, neat feathers
puffed_up | Fur or feathers standing on end
rough_paw_pads | Calloused, worn paw pads
rough_scales | Coarse, textured scales
rough_skin | Textured, uneven skin
ruff | Ring of longer fur around the neck
ruffled_feathers | Feathers in disarray
scruffy | Rough, unkempt appearance
shaggy | Long, messy, hanging fur
silky_fur | Extremely soft and smooth fur
sleek_fur | Smooth, close-lying fur
smooth_scales | Polished, even-textured scales
soft_paw_pads | Smooth, cushiony paw pads
soft_skin | Smooth, supple skin
summer_coat | Thin seasonal fur for warm weather
tail_fluff | Extra fluffy fur on the tail
toe_beans | Soft, rounded paw pads (cute term)
tufted | Having tufts of fur in various places
undercoat | Dense inner layer of fur
wet_fur | Fur soaked with water
winter_coat | Thick seasonal fur for cold weather
wiry_fur | Thin, stiff, rough fur
woolly | Thick, sheep-like wool texture


================================================================================
E621 IMPORT - 2026-04-15
================================================================================
# Tags imported from e621 dump on 2026-04-15
# These are appended for review; re-sort into appropriate sections later

aged_down | Age descriptor
aged_up | Age descriptor
androgynous | Gender/sex identity
anthro_on_anthro | Anthropomorphic species variant
anthro_on_bottom | Anthropomorphic species variant
anthro_on_feral | Anthropomorphic species variant
anthro_on_top | Anthropomorphic species variant
anthro_penetrating_female | Anthropomorphic species variant
anthro_pred | Anthropomorphic species variant
anthro_prey | Anthropomorphic species variant
antlers | Anatomical feature
belly_expansion | Bulge/inflation feature
bodily_fluids | Bodily fluid
bovid | Animal family
bulge | Bulge/inflation feature
canid | Animal family classification
canis | Animal family
cloaca | Anatomical feature
domestic_cat | Domesticated species
domestic_dog | Domesticated species
domestic_ferret | Domesticated species
domestic_pig | Domesticated species
domestic_rabbit | Domesticated species
domestic_sheep | Domesticated species
dragon_horns | Body feature
dragon_tail | Body feature
dragon_wings | Body feature
ejaculation | Climax state
elderly | Age descriptor
equid | Animal family classification
erection | Male anatomy
fang | Anatomical feature
fat | Body build
felid | Animal family classification
felis | Animal family
fish | Animal class
genital_fluids | Bodily fluid
herpestid | Animal family classification
hindpaw | Anatomical feature
humanoid_genitalia | Genital configuration
knotted_penis | Anatomical feature
lamia | Species/character type
leporid | Animal family
mammal | Animal class
markings | Coat pattern
marsupial | Animal family
murid | Animal family
muscular_anthro | Body build
muscular_female | Body build
mythological_avian | Mythological creature
mythological_canine | Mythological creature
mythological_creature | Mythological creature
mythological_equine | Mythological creature
mythological_scalie | Mythological creature
mythology | Mythological creature
pantherine | Animal family
pawpads | Anatomical feature
penile | Male anatomy
penis_tip | Male anatomy
pinniped | Animal family
primate | Animal family
procyonid | Animal family
sciurid | Animal family
testicles | Male anatomy
throbbing | Anatomical state
vaginal_fluids | Bodily fluid
vein | Anatomical state
veins | Anatomical state
vulva | Female anatomy
werecanid | Animal family classification
werecreature | Species/character type
young | Age descriptor


================================================================================
E621 IMPORT v2 - 2026-04-15
================================================================================
# Permissive import: dropped artist/character/modeler/meta categories
# These need re-sorting into appropriate sections

1_horn | imported from e621 (e621 cat 0)
2_horns | imported from e621 (e621 cat 0)
2_penises | imported from e621 (e621 cat 0)
2_tails | imported from e621 (e621 cat 0)
3_claws | imported from e621 (e621 cat 0)
3_horns | imported from e621 (e621 cat 0)
3_tails | imported from e621 (e621 cat 0)
4_balls | imported from e621 (e621 cat 0)
4_breasts | imported from e621 (e621 cat 0)
4_claws | imported from e621 (e621 cat 0)
4_horns | imported from e621 (e621 cat 0)
4_wings | imported from e621 (e621 cat 0)
6_breasts | imported from e621 (e621 cat 0)
6_nipples | imported from e621 (e621 cat 0)
7th_dragon_(series) | imported from e621 (e621 cat 3)
9_tails | imported from e621 (e621 cat 0)
absol | imported from e621 (e621 cat 5)
absolutely_everyone | imported from e621 (e621 cat 0)
absorption_vore | imported from e621 (e621 cat 0)
abstract | imported from e621 (e621 cat 0)
abstract_art | imported from e621 (e621 cat 0)
abstract_background | imported from e621 (e621 cat 0)
absurdly_detailed_composition | imported from e621 (e621 cat 0)
absurdly_long_hair | imported from e621 (e621 cat 0)
abyssal_ship | imported from e621 (e621 cat 0)
adoptive_father_(lore) | imported from e621 (e621 cat 8)
adoptive_parent_and_adoptive_child | imported from e621 (e621 cat 0)
adult_(lore) | imported from e621 (e621 cat 8)
adult_on_child | imported from e621 (e621 cat 0)
adult_on_young | imported from e621 (e621 cat 0)
adult_swim | imported from e621 (e621 cat 3)
after_bathing | imported from e621 (e621 cat 0)
against_furniture | imported from e621 (e621 cat 0)
against_glass | imported from e621 (e621 cat 0)
ai-assisted | imported from e621 (e621 cat 5)
airship | imported from e621 (e621 cat 0)
alternate_color | imported from e621 (e621 cat 0)
alternate_eye_color | imported from e621 (e621 cat 0)
alternate_hair_color | imported from e621 (e621 cat 0)
alternate_hair_length_(shorter) | imported from e621 (e621 cat 0)
alternate_skin_color | imported from e621 (e621 cat 0)
alternate_species | imported from e621 (e621 cat 0)
alternate_wings | imported from e621 (e621 cat 0)
alvin_and_the_chipmunks | imported from e621 (e621 cat 3)
ambient_butterfly | imported from e621 (e621 cat 5)
ambient_insect | imported from e621 (e621 cat 5)
ambiguous_anthro | imported from e621 (e621 cat 0)
ambiguous_feral | imported from e621 (e621 cat 0)
ambiguous_fluids | imported from e621 (e621 cat 0)
ambiguous_species | imported from e621 (e621 cat 5)
american_dragon:_jake_long | imported from e621 (e621 cat 3)
american_football | imported from e621 (e621 cat 0)
anatomically_correct_vulva | imported from e621 (e621 cat 0)
andromorph_anthro | imported from e621 (e621 cat 0)
angel_wings | imported from e621 (e621 cat 0)
anglerfish | imported from e621 (e621 cat 0)
animal_print_thigh_highs | imported from e621 (e621 cat 0)
animal_skin | imported from e621 (e621 cat 0)
animal_tail | imported from e621 (e621 cat 0)
animal_vulva | imported from e621 (e621 cat 0)
anime_coloring | imported from e621 (e621 cat 0)
anothereidos_of_dragon_vein_r | imported from e621 (e621 cat 3)
anthro_fingered | imported from e621 (e621 cat 0)
anthro_focus | imported from e621 (e621 cat 0)
anthro_on_taur | imported from e621 (e621 cat 0)
anthro_penetrating_male | imported from e621 (e621 cat 0)
anthro_pov | imported from e621 (e621 cat 0)
anthrofied | imported from e621 (e621 cat 0)
anthroponiessfm | imported from e621 (e621 cat 8)
apogee_(tinygaypirate) | imported from e621 (e621 cat 11)
aqua_shorts | imported from e621 (e621 cat 0)
aqua_skin | imported from e621 (e621 cat 0)
aqua_thighhighs | imported from e621 (e621 cat 0)
aquatic_dragon | imported from e621 (e621 cat 5)
aran_sweater | imported from e621 (e621 cat 0)
argyle_sweater | imported from e621 (e621 cat 0)
argyle_thighhighs | imported from e621 (e621 cat 0)
arm_between_breasts | imported from e621 (e621 cat 0)
arm_feathers | imported from e621 (e621 cat 0)
arm_under_breasts | imported from e621 (e621 cat 0)
arms_under_breasts | imported from e621 (e621 cat 0)
artificial_vagina | imported from e621 (e621 cat 0)
asian_clothing | imported from e621 (e621 cat 0)
asking | imported from e621 (e621 cat 0)
asking_another | imported from e621 (e621 cat 0)
asking_viewer | imported from e621 (e621 cat 0)
asking_what | imported from e621 (e621 cat 0)
ass | imported from e621 (e621 cat 0)
ass-to-ass | imported from e621 (e621 cat 0)
ass_clapping | imported from e621 (e621 cat 0)
ass_cutout | imported from e621 (e621 cat 0)
ass_focus | imported from e621 (e621 cat 0)
ass_on_glass | imported from e621 (e621 cat 0)
ass_peek | imported from e621 (e621 cat 0)
ass_press | imported from e621 (e621 cat 0)
ass_ripple | imported from e621 (e621 cat 0)
ass_shake | imported from e621 (e621 cat 0)
ass_support | imported from e621 (e621 cat 0)
ass_tattoo | imported from e621 (e621 cat 0)
ass_visible_through_thighs | imported from e621 (e621 cat 0)
assassin's_creed_(series) | imported from e621 (e621 cat 3)
assault_lily | imported from e621 (e621 cat 3)
assault_rifle | imported from e621 (e621 cat 0)
assault_visor | imported from e621 (e621 cat 0)
assertive_anthro | imported from e621 (e621 cat 0)
assertive_female | imported from e621 (e621 cat 0)
assimilation | imported from e621 (e621 cat 0)
assisted_rape | imported from e621 (e621 cat 0)
asticassia_school_uniform | imported from e621 (e621 cat 0)
asymmetrical_horns | imported from e621 (e621 cat 0)
asymmetrical_wings | imported from e621 (e621 cat 0)
athletic_anthro | imported from e621 (e621 cat 0)
auto_penis_lick | imported from e621 (e621 cat 0)
average_penis | imported from e621 (e621 cat 0)
avian_butt | imported from e621 (e621 cat 0)
avian_caruncle | imported from e621 (e621 cat 0)
avian_demon | imported from e621 (e621 cat 5)
avian_feet | imported from e621 (e621 cat 0)
avian_humanoid | imported from e621 (e621 cat 5)
aviator_sunglasses | imported from e621 (e621 cat 0)
babs_bunny | imported from e621 (e621 cat 11)
back_wings | imported from e621 (e621 cat 0)
backless_clothing | imported from e621 (e621 cat 0)
backwards_baseball_cap | imported from e621 (e621 cat 0)
bag_of_chips | imported from e621 (e621 cat 0)
bagged_fish | imported from e621 (e621 cat 0)
balance_scale | imported from e621 (e621 cat 0)
ball_and_chain_(weapon) | imported from e621 (e621 cat 0)
ball_bra | imported from e621 (e621 cat 0)
ball_bulge | imported from e621 (e621 cat 0)
ball_fondling | imported from e621 (e621 cat 0)
ball_ring | imported from e621 (e621 cat 0)
ball_slap | imported from e621 (e621 cat 0)
ball_sniffing | imported from e621 (e621 cat 0)
ball_squeeze | imported from e621 (e621 cat 0)
ball_squish | imported from e621 (e621 cat 0)
ball_suck | imported from e621 (e621 cat 0)
ball_tuft | imported from e621 (e621 cat 0)
ballbusting | imported from e621 (e621 cat 0)
ballerina | imported from e621 (e621 cat 0)
ballet | imported from e621 (e621 cat 0)
ballet_slippers | imported from e621 (e621 cat 0)
balloon | imported from e621 (e621 cat 0)
balls_blush | imported from e621 (e621 cat 0)
balls_in_underwear | imported from e621 (e621 cat 0)
balls_on_face | imported from e621 (e621 cat 0)
balls_on_ground | imported from e621 (e621 cat 0)
balls_on_tail | imported from e621 (e621 cat 0)
balls_outline | imported from e621 (e621 cat 0)
balls_touching | imported from e621 (e621 cat 0)
bandaged_arm | imported from e621 (e621 cat 0)
bandaged_chest | imported from e621 (e621 cat 0)
bandaged_fingers | imported from e621 (e621 cat 0)
bandaged_foot | imported from e621 (e621 cat 0)
bandaged_hand | imported from e621 (e621 cat 0)
bandaged_head | imported from e621 (e621 cat 0)
bandaged_leg | imported from e621 (e621 cat 0)
bandaged_neck | imported from e621 (e621 cat 0)
bandaged_wrist | imported from e621 (e621 cat 0)
bandaid_on_thigh | imported from e621 (e621 cat 0)
bandaids_on_nipples | imported from e621 (e621 cat 0)
banknote | imported from e621 (e621 cat 0)
bare_breasts | imported from e621 (e621 cat 0)
bare_hips | imported from e621 (e621 cat 0)
barely_contained_penis | imported from e621 (e621 cat 0)
barely_visible_balls | imported from e621 (e621 cat 0)
barely_visible_nipples | imported from e621 (e621 cat 0)
barely_visible_penis | imported from e621 (e621 cat 0)
barely_visible_vulva | imported from e621 (e621 cat 0)
baseball | imported from e621 (e621 cat 0)
baseball_(object) | imported from e621 (e621 cat 0)
baseball_bat | imported from e621 (e621 cat 0)
baseball_cap | imported from e621 (e621 cat 0)
baseball_jersey | imported from e621 (e621 cat 0)
baseball_mitt | imported from e621 (e621 cat 0)
baseball_uniform | imported from e621 (e621 cat 0)
basketball | imported from e621 (e621 cat 0)
basketball_(ball) | imported from e621 (e621 cat 0)
basketball_(object) | imported from e621 (e621 cat 0)
basketball_hoop | imported from e621 (e621 cat 0)
basketball_jersey | imported from e621 (e621 cat 0)
basketball_uniform | imported from e621 (e621 cat 0)
bass_clef | imported from e621 (e621 cat 0)
bass_guitar | imported from e621 (e621 cat 0)
bassariscus | imported from e621 (e621 cat 5)
basset_hound | imported from e621 (e621 cat 0)
bassybefuddle | imported from e621 (e621 cat 8)
bathing | imported from e621 (e621 cat 0)
battleship | imported from e621 (e621 cat 0)
beach_ball | imported from e621 (e621 cat 0)
beachball | imported from e621 (e621 cat 0)
beamed_sixteenth_notes | imported from e621 (e621 cat 0)
bear_tail | imported from e621 (e621 cat 0)
behind_glass | imported from e621 (e621 cat 0)
belly_nipples | imported from e621 (e621 cat 0)
benjamin_clawhauser | imported from e621 (e621 cat 11)
bestiality_impregnation | imported from e621 (e621 cat 0)
between_breasts | imported from e621 (e621 cat 0)
between_buttocks | imported from e621 (e621 cat 0)
between_thighs | imported from e621 (e621 cat 0)
big_claws | imported from e621 (e621 cat 0)
big_glasses | imported from e621 (e621 cat 0)
big_horn | imported from e621 (e621 cat 0)
big_muscles | imported from e621 (e621 cat 0)
big_sheath | imported from e621 (e621 cat 0)
big_vulva | imported from e621 (e621 cat 0)
big_wings | imported from e621 (e621 cat 0)
bike_shorts | imported from e621 (e621 cat 0)
bike_shorts_under_shorts | imported from e621 (e621 cat 0)
bike_shorts_under_skirt | imported from e621 (e621 cat 0)
bikini_bottom_under_shorts | imported from e621 (e621 cat 0)
bikini_shorts | imported from e621 (e621 cat 0)
billiard_ball | imported from e621 (e621 cat 0)
binary_drawing | imported from e621 (e621 cat 14)
bipedal_feral | imported from e621 (e621 cat 0)
bird_tail | imported from e621 (e621 cat 0)
bird_wings | imported from e621 (e621 cat 0)
bite_mark_on_breast | imported from e621 (e621 cat 0)
black_balls | imported from e621 (e621 cat 0)
black_breasts | imported from e621 (e621 cat 0)
black_butt | imported from e621 (e621 cat 0)
black_claws | imported from e621 (e621 cat 0)
black_clothing | imported from e621 (e621 cat 0)
black_coat | imported from e621 (e621 cat 0)
black_glasses | imported from e621 (e621 cat 0)
black_hiphighs | imported from e621 (e621 cat 0)
black_horn | imported from e621 (e621 cat 0)
black_horns | imported from e621 (e621 cat 0)
black_nipples | imported from e621 (e621 cat 0)
black_pawpads | imported from e621 (e621 cat 0)
black_paws | imported from e621 (e621 cat 0)
black_penis | imported from e621 (e621 cat 0)
black_sheath | imported from e621 (e621 cat 0)
black_shorts | imported from e621 (e621 cat 0)
black_skin | imported from e621 (e621 cat 0)
black_skinsuit | imported from e621 (e621 cat 0)
black_spots | imported from e621 (e621 cat 0)
black_stripes | imported from e621 (e621 cat 0)
black_sweater | imported from e621 (e621 cat 0)
black_sweater_vest | imported from e621 (e621 cat 0)
black_tail | imported from e621 (e621 cat 0)
black_tail_tip | imported from e621 (e621 cat 0)
black_thigh_highs | imported from e621 (e621 cat 0)
black_thighhighs | imported from e621 (e621 cat 0)
black_toe_claws | imported from e621 (e621 cat 0)
black_vulva | imported from e621 (e621 cat 0)
black_wings | imported from e621 (e621 cat 0)
blindfold_mask | imported from e621 (e621 cat 0)
blood_on_breasts | imported from e621 (e621 cat 0)
blood_on_chest | imported from e621 (e621 cat 0)
blood_on_clothing | imported from e621 (e621 cat 0)
blowing | imported from e621 (e621 cat 0)
blowing_bubble_gum | imported from e621 (e621 cat 0)
blowing_bubbles | imported from e621 (e621 cat 0)
blowing_smoke | imported from e621 (e621 cat 0)
blue_balls | imported from e621 (e621 cat 0)
blue_breasts | imported from e621 (e621 cat 0)
blue_butt | imported from e621 (e621 cat 0)
blue_butterfly | imported from e621 (e621 cat 0)
blue_claws | imported from e621 (e621 cat 0)
blue_clothing | imported from e621 (e621 cat 0)
blue_coat | imported from e621 (e621 cat 0)
blue_cum | imported from e621 (e621 cat 0)
blue_horn | imported from e621 (e621 cat 0)
blue_horns | imported from e621 (e621 cat 0)
blue_nipples | imported from e621 (e621 cat 0)
blue_pawpads | imported from e621 (e621 cat 0)
blue_paws | imported from e621 (e621 cat 0)
blue_penis | imported from e621 (e621 cat 0)
blue_shorts | imported from e621 (e621 cat 0)
blue_spots | imported from e621 (e621 cat 0)
blue_stripes | imported from e621 (e621 cat 0)
blue_sweater | imported from e621 (e621 cat 0)
blue_sweater_vest | imported from e621 (e621 cat 0)
blue_tail | imported from e621 (e621 cat 0)
blue_tail_tip | imported from e621 (e621 cat 0)
blue_thigh_highs | imported from e621 (e621 cat 0)
blue_thighhighs | imported from e621 (e621 cat 0)
blue_vulva | imported from e621 (e621 cat 0)
blue_wings | imported from e621 (e621 cat 0)
bodily_fluids_in_ass | imported from e621 (e621 cat 0)
bodily_fluids_in_pussy | imported from e621 (e621 cat 0)
body_fur | imported from e621 (e621 cat 0)
bold_text | imported from e621 (e621 cat 0)
both_pregnant | imported from e621 (e621 cat 0)
bottomless_anthro | imported from e621 (e621 cat 0)
bouncing_ass | imported from e621 (e621 cat 0)
bouncing_balls | imported from e621 (e621 cat 0)
bouncing_breasts | imported from e621 (e621 cat 0)
bouncing_butt | imported from e621 (e621 cat 0)
bouncing_penis | imported from e621 (e621 cat 0)
bovid_horn | imported from e621 (e621 cat 0)
bovid_humanoid | imported from e621 (e621 cat 5)
bovine_horn | imported from e621 (e621 cat 0)
bowing | imported from e621 (e621 cat 0)
boxers_(clothing) | imported from e621 (e621 cat 0)
braided_pigtails | imported from e621 (e621 cat 0)
braided_ponytail | imported from e621 (e621 cat 0)
braided_twintails | imported from e621 (e621 cat 0)
brass_knuckles | imported from e621 (e621 cat 0)
breast_blush | imported from e621 (e621 cat 0)
breast_conscious | imported from e621 (e621 cat 0)
breast_curtains | imported from e621 (e621 cat 0)
breast_envy | imported from e621 (e621 cat 0)
breast_focus | imported from e621 (e621 cat 0)
breast_fondling | imported from e621 (e621 cat 0)
breast_jiggle | imported from e621 (e621 cat 0)
breast_lift | imported from e621 (e621 cat 0)
breast_milk_in_container | imported from e621 (e621 cat 0)
breast_milking | imported from e621 (e621 cat 0)
breast_padding | imported from e621 (e621 cat 0)
breast_pillow | imported from e621 (e621 cat 0)
breast_pocket | imported from e621 (e621 cat 0)
breast_rest | imported from e621 (e621 cat 0)
breast_slip | imported from e621 (e621 cat 0)
breast_smother | imported from e621 (e621 cat 0)
breast_squeeze | imported from e621 (e621 cat 0)
breast_squish | imported from e621 (e621 cat 0)
breast_strap | imported from e621 (e621 cat 0)
breast_suck | imported from e621 (e621 cat 0)
breast_suppress | imported from e621 (e621 cat 0)
breast_tattoo | imported from e621 (e621 cat 0)
breastless_clothes | imported from e621 (e621 cat 0)
breastplate | imported from e621 (e621 cat 0)
breasts_and_teats | imported from e621 (e621 cat 0)
breasts_apart | imported from e621 (e621 cat 0)
breasts_on_glass | imported from e621 (e621 cat 0)
breasts_on_head | imported from e621 (e621 cat 0)
